Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Atributos AI-PAVE-BR,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Atributos Multimídia,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
id,product_type,,,extracted_attributes,conectividade_ol,marca_ol,potencia_ol,tipo_ol,voltagem_ol,caracteristicas_ol,tamanho_do_woofer_ol,conexoes_ol,material_ol,formato_ol,composicao_ol,recursos_ol,conectividade_llm,marca_llm,potencia_llm,tipo_llm,voltagem_llm,caracteristicas_llm,tamanho_do_woofer_llm,conexoes_llm,material_llm,formato_llm,composicao_llm,recursos_llm,marca,conectividade,potencia,tipo,voltagem,tamanho_do_woofer,conexoes,funcionamento da caixa
olistplus||OPMN5MLE3R0DJF5Y,Caixa de Som,Caixinha De Som Portátil Bluetooth Mini Caixa De Som Rgb,Caixinha De Som Portátil Bluetooth Mini Caixa de Som Rgb Descrição CARACTERÍSTICA:- Modos de conexão: Rádio fm; usb; Bluetooth; Cartão de memória tf.- Possui entrada para Microfone.- Potência 10W- Leds que trocam de cor e movimentam com a música.- Bateria recarregável- Duração da bateria: 2-3 horas- Tempo de carregamento da bateria: 2 horas.- Possui equalizador de Som Ficha técnica:- Distância da conexão: 10 m- Canal: Estéreo 2.0- Potência de saída: 10W rms- Resposta de frequência: 20Hz-20KHz- Tamanho do alto-falante: 3 polegadas- Capacidade de carga: 1800mAh- Tensão de carregamento da bateria: 5v (usb) (cabo incluso)- Duração da bateria: 2-3 horas- Tempo de carregamento da bateria: 2 horas.- Peso: 650g O que você vai receber em casa:1x Caixa de Som Kapbom KA-89011x Cabo carregador1x Manuel de instruçãoHomologação Anatel: 025931304858,"{""caracteristicas"":""Bluetooth"",""marca"":""Kapbom"",""tamanho_do_woofer"":""5\"""",""tipo"":""Portátil"",""voltagem"":""5 V""}",,Kapbom,,Portátil,5 V,Bluetooth,"5""",,,,,,Bluetooth,Kapbom,10W,Caixa de Som Portátil,5v,Modos de conexão Rádio fm usb Bluetooth Cartão de memória tf- Possui entrada para Microfone- Potência 10W- Leds que trocam de cor e movimentam com a música- Bateria recarregável- Duração da bateria 2-3 horas- Tempo de carregamento da bateria 2 horas- Possui equalizador de Som,3 polegadas,"Bluetooth, USB, Cartão de memória TF, Rádio FM, Entrada para Microfone",Não informado,Não informado,Não informado,"Rádio FM, Bluetooth, Entrada para Microfone, Cartão de memória TF, Leds que trocam de cor e movimentam com a música, Bateria recarregável",Kapbom,Bluetooth,10W,Mini,5V,,USB,
connectparts||2708291,Caixa de Som,Caixa De Som Ativa Amplificada Shutt Retrô 480w RMS Entrada Microfone P10 Bluetooth USB Bivolt LED,"Caixa de Som Ativa Retrô Bi Amplificada 480W RMS Woofer Shutt Xplode 12"" Bivolt LED Neon Bluetooth Casa Comércio Igreja Rancho Lanchonete Bar Festa Churrasco Eventos A melhor escolha para curtir suas playlists favoritas com os amigos e família é a Caixa Ativa Shutt . Um modelo especial na cor Vermelho com Preto Pigmentado e tela mel . Ela possui disponibilidade de LEDs nas cores: RGB, Amarelo, Azul, Azul bebê, Branco quente, Laranja, Rosa, Roxo lilás, Verde e Vermelho . Seu design exclusivo permite que você a transporte para qualquer lugar através de alças laterais ergonômicas . Se não bastasse o design impecável, também oferece potência fora da curva com o Falante de 12 polegadas personalizado com um incrível Driver de 80W RMS e Amplificador embutido . Incrível, né? Compre agora e possua um projeto de som potente . Cor Disponível do LED: • RGB • Amarelo • Azul • Azul bebê • Branco quente • Laranja • Rosa • Roxo lilás • Verde • Vermelho OBS: A cor que não estiver disponível, não aparecerá na opção comprar do anúncio. OBS: A potência de 480W RMS refere-se à soma da potência total dos componentes.","{""caracteristicas"":""Entrada Microfone, Rádio FM"",""potencia"":""480 W"",""tamanho_do_woofer"":""12\"""",""tipo"":""Amplificada"",""voltagem"":""Bivolt""}",,,480 W,Amplificada,Bivolt,"Entrada Microfone, Rádio FM","12""",,,,,,"Bluetooth, USB",Shutt,480W RMS,Ativa,Bivolt,"Retrô, Amplificada, Entrada Microfone P10, LED",12 polegadas,Entrada Microfone P10,Não informado,Não informado,Não informado,LED RGB,Shutt,Bluetooth,480W,,Bivolt,"12""",,"Ativa, Amplificada"
oliststore||MGLH8WKC67QXXUNC,Caixa de Som,Caixinha De Som Subwoofer 2.1 Computador Notebook,"Caixa de Som Mean Machine Subwoofer Speaker NS-030Desperte o Som com Estilo: Caixa de Som Mean Machine Subwoofer Speaker NS-030Explore uma fusão perfeita entre design arrojado e desempenho poderoso com a Caixa de Som Mean Machine NS-030. Sintonize-se na era da elegância moderna, onde a beleza encontra a funcionalidade em cada detalhe.CARACTERISTICAS: Design e Beleza:Aparência elegante e moderna, o mais recente interruptor de controle de volume por fio popular para ajuste, fácil de usar, sua bela aparência e efeito de adorno elevam o charme.Cores vibrantes, materiais selecionados, luz brilhante.Efeito de som estéreo de dois canais:Técnica de aprimoramento de som 3D, amplificador de potência eficiente embutido,Junto com alto-falantes de graves pesados de alta fidelidade, a pureza do som é impressionante.Conexão fácil:Pode ser facilmente conectado a laptops, tablets, telefones celulares, desktops, iPod, etc. Fácil para ouvir música.INFORMAÇÕES ADICIONAIS-compatibilidade de Áudio: Computadores e laptops-tipo de conexão : Cabo-função Bluetooth : Não-subwoofer 2.1ch USB-frequência Response: 20Hz-200Hz 3.5mm-plug Potência do alto-falante: RMS 5W + 3Wx2-impedância: 2W Alto-falante, 5W Subwoofer-cor: Vermelho, Amarelo e Verde (Enviado conforme disponibilidade em estoque)-medidas:Subwoofer: 19 x 12 x 14,5 (C x L x A)Alto-falante pequeno: 8,5 x 7,5 x 10,5 (C x L x A)Conteúdo da Embalagem:-1x Caixa de Som para PC NS-030-1x Cabo USB-1x Manual",,,,,,,,,,,,,,Cabo,Mean Machine,5W,Subwoofer,Não informado,"Design elegante e moderno, interruptor de controle de volume por fio, cores vibrantes, materiais selecionados, efeito de som estéreo de dois canais, técnica de aprimoramento de som 3D, amplificador de potência eficiente embutido, alto-falantes de graves pesados de alta fidelidade",21,USB,Não informado,Não informado,Não informado,Bluetooth  Não,Nubwo,Bluetooth,11W,,Bivolt,"2.1""",USB,
olistplus||OPMNCSRAAII73PK8,Caixa de Som,Alarme Para Moto Com Caixa Som Via Bluetooth Usb Mp3 Sd Fm,"Alarme Para Moto Com Caixa Som Via Bluetooth Usb Mp3 Sd Fm Super prático e seguro, este kit de alarme para moto não só garante a segurança do seu veículo, mas também permite que você ouça suas músicas favoritas enquanto está na estrada. O alarme tem função mp3 e rádio fm, e vem com controle remoto para travar e destravar. Características: - Alarme anti-roubo com entrada para pen drive e cartão microsd - Inclui 2 caixas de som que fornecem áudio de ótima qualidade - Controle com todas as funções necessárias para o seu alarme com alcance de 1 - 3 metros Especificações: - Alarme anti-furto - Bluetooth para reprodução de músicas - Rádio FM - Função mp3 player, reproduz músicas do pendrive ou cartão de memória - Tensão nominal: DC 9 - 12V - Potência de saída: 2 x 10W 4o - Frequência de resposta: 20Hz--20KHz - Temperatura de trabalho: -30oC 60oC - Alcance do controle: até 3 metros em áreas abertas (sem barreiras) - Dimensões da central: 9 x 5 x 2,4cm (largura x profundidade x altura) - Dimensões das caixas de som: 6,5 x 8 x 7cm (largura x profundidade x altura) Itens inclusos: - 2 caixas de som (10W cada) - 2 suportes para caixas de som - 1 controle remoto - 1 central controladora (com entrada USB e microSD card) - 1 chicote com conectores Cores enviadas conforme disponibilidade em estoque. Observações importantes: - Produto de alta qualidade - Reprodução de músicas com alta fidelidade e potência - As caixas de som podem ser instaladas no painel, guidão ou bengala da moto - Controle de longo alcance com funções avançar/voltar música, aumentar/diminuir volume, on/modo/play/pause e botão lock para ativar o alarme - Suporte a com cartão SD, rádio FM e pendrive USB.","{""caracteristicas"":""Bluetooth"",""potencia"":""10 W"",""tamanho_do_woofer"":""12\"""",""voltagem"":""9 V""}",,,10 W,,9 V,Bluetooth,"12""",,,,,,Bluetooth,Não informado,2 x 10W,Caixa de Som,DC 9 - 12V,"Alarme anti-roubo com entrada para pen drive e cartão microsd, Inclui 2 caixas de som que fornecem áudio de ótima qualidade, Controle com todas as funções necessárias para o seu alarme com alcance de 1 - 3 metros",Não informado,"USB, microSD card",Não informado,Não informado,Não informado,"Bluetooth, Rádio FM, Função mp3 player, Controle remoto",alarme,,,,,,,
olistplus||O2EUSZB19JO0C5UH,Caixa de Som,Caixa De Som Com Luminária Led Projetor,"Controle remoto e música: com controle remoto (usa 2 Baterias XAAA - não incluídas), não se preocupe em se levantar, ligar ou desligar a luz noturna no sofá. O controle remoto também pode controlar a luz das estrelas e as luzes coloridas do projetor, ajustar o brilho e ligar/desligar livremente a luz, mudar o modo de luz, música, temporizador. O mais recente modo piscando ativado por som permite que a projeção mude de cor de acordo com a batida da música ou batendo palmas, produzindo assim uma projeção de céu estrelado.Alto-falante Bluetooth e temporizador: Você pode escolher sua música favorita via Bluetooth ou USB. Música de alta qualidade e projeção de céu estrelado criam uma atmosfera romântica e calma no céu noturno. A opção de temporizador é mais eficiente em termos de energia, e você também pode lançar toda a luz à noite.Temporizador de controle automático: projetor de nebulosa dinâmico embutido 1H, 2H, temporizador de desligamento automático, projetor de luz noturna desligará automaticamente após um tempo predefinido. Claro, você pode cancelar o temporizador para mantê-lo a noite todaPresentes para família e crianças: A luz noturna de projeção do céu estrelado é adequada para aniversários, festas, casamentos, decoração do quarto, dia das crianças, Natal e presentes de aniversário. Ele cria uma atmosfera estrelada maravilhosa e ajuda a estimular a curiosidade, a imaginação e a força de criatividade das crianças. Também é muito adequado para decoração de interiores, como projetores de ondas, luzes de humor romântico, luzes noturnas e luzes de cabeceira.Projetor de luz noturna estrelada música: a luz noturna estrelada pode projetar um céu estrelado realista nas paredes e no teto, criando um bom ambiente de sono para o seu bebê, eEspecificaçãoPeso líquido: 500 gramasMaterial: ABSLED RGBW: 2 3WTensão de entrada: DC 5V 2000mATamanho do produto: altura 12 cm, diâmetro 16 cmComprimento do cabo USB: 3,2 pésO pacote inclui1 x projetor estrela1 x cabo USB1 x controle remotoHomologação Anatel: 022670905389",,,,,,,,,,,,,,"Bluetooth, USB",Não informado,2.3W,Caixa de Som,DC 5V,"Controle Remoto, Bluetooth, Temporizador, Luz Noturna, Projetor de Estrelas, Projetor de Nebulosa",Não informado,USB,"ABS, LED RGBW",Não informado,Não informado,"Controle Remoto, Bluetooth, Temporizador, Luz Noturna, Projetor de Estrelas, Projetor de Nebulosa, Som Ativado,  Luz de Humor Romântico,  Luzes de Cabeceira",Easy peasy,Bluetooth,,Mini,5V,,USB,
evoxeletronicos||K2563,Caixa de Som,10 Caixa Leson Quadrada Preta Embutir Gesso Som Ambiente 70w,"Kit 10 Alto Falantes Quadrado Som Ambiente Le Son Arandela Teto<br><br>As arandelas quadradas 70 w para som ambiente, podem ser instaladas no teto ou parede, possui alto falante de 6 polegadas, fácil de instalar, e design discreto por ter bordas bem finas.<br><br>Características técnicas da arandela quadrada:<br>Marca Le Son<br>Cor: Preto<br>Medida externa: 21 cm<br>Faixa de Frequência: 30 a 20KHz<br>Impedância Nominal: 8 ohms<br>Potência RMS: 70 Wrms<br>Sensibilidade: 86Db<br>Material falante: cone borda de espuma<br>Carcaça em ABS<br>Bobina Simples<br>Peso: 0,953 kg","{""potencia"":""70 W"",""tipo"":""Embutir""}",,,70 W,Embutir,,,,,,,,,Não informado,Le Son,70 Wrms,Caixa de Som,Não informado,"Arandela quadrada, 70 w, para som ambiente, pode ser instalada no teto ou parede, possui alto falante de 6 polegadas, fácil de instalar e design discreto por ter bordas bem finas",6 polegadas,Não informado,"ABS, cone borda de espuma",Quadrada,Não informado,Não informado,Le Son,,70W,,,"6""",,
olistsp||OSPGZH9464GC5VKH,Caixa de Som,Caixa De Som Alta Carregador Por Indução Luminária Colorida,"Caixa de Som Alta com Carregador por Indução Luminária Colorida Luminária Bluetooth Led e som com Carregamento por indução O melhor da tecnologia veio até você A Luminária de Mesa Xtran é um dispositivo multifuncional que combina várias funcionalidades úteis em um único produto. Essa luminária de mesa oferece iluminação ajustável, que te permite usá-la em ambientes de festa, para decoração, ou se preferir, para manter o ambiente relaxante, tem reprodução de áudio Bluetooth de alta qualidade e carregamento por indução, proporcionando conveniência e versatilidade em seu uso. Informações técnicas da Caixa de som com luminária:-possui rádio FM-compatível com android e IOS-bivolt-possui bateria própria interna recarregável-potência de carregamento por indução: 15w-versão Bluetooth: 5.2-nome Bluetooth: BT2301-potência de saída: 15w-frequência Bluetooth: 2.4 - 2.48ghz-distância de transmissão: 10mts.-faixa de resposta de frequência: 50Hz - 20KHz-relação sinal-ruído: 75db-tensão da bateria de lítio embutida: 3.7V-entrada de carregamento: DC5V/500MAh-tamanho do produto: altura: 24cm largura: 23cm-mãos livres: este recurso facilita o uso do smartphone mesmo quando ele esteja conectado ao alto-falante. Atender, fer ou ignorar chamadas são algumas das ações que podem ser feitas diretamente com os botões do seu Luminária G-Speaker-material: ABS, PC, metal-esse modelo POSSUI RELÓGIO Carregamento por indução: essa função serve apenas para celular com a tecnologia QI. Itens inclusos:-1X Luminária Caixa De Som E Carregador Smart Station-1X Cabo tipo C para carregamento da Luminária Caixa De Som Bluetooth-1X Manual de instruçõesHomologação Anatel: 022670905389","{""voltagem"":""Bivolt""}",,,,,Bivolt,,,,,,,,Bluetooth,Xtran,15w,Caixa de Som,Bivolt,"Rádio FM, Carregamento por indução, Bluetooth 5.2, Mãos livres, Relógio",Não informado,"Cabo tipo C, Bluetooth","ABS, PC, metal",Não informado,Não informado,"Iluminação ajustável, reprodução de áudio Bluetooth, carregamento por indução",Yn-2209,Bluetooth,15W,Dock,Bivolt,,USB,
rhinoautopartsrj||901961,Caixa de Som,Mesa De Som Com Ajuste De Grave Agudo Médio Efeito Eco Leds Multicolor Lançamento,"<p>Descubra um mundo de som e luz com o T 0302 FX MULTICOLOR, a primeira mesa dos segmentos que incorpora efeitos de Led RGB aos botões, tornando cada ajuste uma experiência envolvente. São 69 efeitos de luz distintos, incluindo o efeito cativante VU sincronizado com o ritmo da música.</p> <p>Explore a sinergia perfeita entre som e estética com o T 0302 FX MULTICOLOR.</p> <p>Informações Técnicas: </p> <p>RESPOSTA DA FREQUÊNCIA (-3DB): 2 Hz ~ 76 KHz;</p> <p>DISTORÇÃO HARMÔNICA TOTAL: &lt;0,009% (THD);</p> <p>RELAÇÃO SINAL RUÍDO (SNR): 112dB.</p> <p>SENSIBILIDADE DAS ENTRADAS: </p> <p>Canal 1: Microfone (XLR) Mín: 500mV ~ Máx 7mV;</p> <p>Linha (P10) Mín: 620mV ~ Máx 7,6mV;</p> <p>Canal 2/3: Linha (P10/RCA) Mín: 2,55mV ~ Máx: 60mV.</p> <p>4 BANDAS DE EQUALIZAÇÃO POR CANAL:</p> <p>Alto ± 15dB (12KHz);</p> <p>Médio Alto ± 15dB (2,5KHz);</p> <p>Médio Baixo ± 15dB (300KHz);</p> <p>Baixo ± 15dB (80Hz).</p> <p>IMPEDÂNCIA DAS ENTRADAS: </p> <p>Canal 1: Mic (XLR): Desbalanceada 4K Ohms;</p> <p>Balanceada 8K Ohms;</p> <p>Linha (P10): desbalanceada 8,5K Ohms;</p> <p>Balanceada 17K Ohms;</p> <p>Canal 2/3: Linha (P10): Desbalanceada 10K Ohms;</p> <p>Linha (RCA): Desbalanceada 10K Ohms.</p> <p>TEMPO DE ECO FX / REPETIÇÃO DE ECO FX: 50~350ms 1~12 repetições.</p> <p>IMPEDÂNCIA DAS SAÍDAS: </p> <p>Saída principal (P10/RCA): 47R;</p> <p>Saída auxiliar (P10/RCA): 47R.</p> <p>NÍVEL MÁXIMO DAS SAÍDAS:</p> <p>Saída Principal (P10/RCA): 18dBu/6,3Vac;</p> <p>Saída Aux (P10/RCA): 18dBu/6,3Vac.</p> <p>TENSÃO DE ALIMENTAÇÃO: (POWER) 9 ~ 16 Vcc;</p> <p>CONSUMO MÁXIMO: 470mA a 860mA;</p> <p>ENTRADA REMOTO (CONECTOR REM): 9 ~ 16 Vcc;</p> <p>SAÍDA REMOTO (CONECTOR REM): 350 mA;</p> <p>DIMENSÕES(L X A X P): 145x42x242mm;</p> <p>PESO: 0,82Kg;</p> <p>EAN: 7908706600469.</p>",,,,,,,,,,,,,,Não informado,Não informado,Não informado,Mesa de Som,9  16 Vcc,Efeito Eco Leds Multicolor,Não informado,"Microfone XLR, Linha P10, RCA, Saída Principal P10RCA, Saída Aux P10RCA, Entrada Remoto CONECTOR REM, Saída Remoto CONECTOR REM",Não informado,Não informado,Não informado,"69 efeitos de luz, VU sincronizado com o ritmo da música, 4 BANDAS DE EQUALIZAÇÃO POR CANAL, TEMPO DE ECO FX, REPETIÇÃO DE ECO FX",mesa de som,,,,,,,
olistsp||OSPY0N04M9C11Q8Q,Caixa de Som,Amplificador Portátil Som Para Idosos Com Amplificador,"Amplificador portátil som para idosos com amplificador Especificações do produto: - contém: 1 amplificador auditivo, 3 adaptadores de silicone, 2 baterias, 2 limpadores e 1 manual. - modelo: interno (ite) analógico. - dimensão: 18,62 x 13,39 x 9,76mm. - frequência: 100 a 6000hz. - uso bilateral (para ambos os lados). - alimentação: baterias ag3, a312 (pr41), 1.5v. - duração bateria: até 20 dias. - regula o volume. - recomendado para adultos com perda auditiva leve. Sugestão de uso: - para ligar, o compartimento da bateria deve estar completamente fechado. - encaixe o amplificador na parte interna da orelha, escolhendo o melhor adaptador de tamanho. - regule o volume de acordo com sua preferência. - leia as instruções de montagem, cuidado e utilização informados no manual. Atenção: uso não recomendado para pessoas que apresentam zumbidos e crianças menores.",,,,,,,,,,,,,,Não informado,Não informado,Não informado,Amplificador,15v,"Amplificador auditivo, 3 adaptadores de silicone, 2 baterias, 2 limpadores, 1 manual, modelo interno ite analógico, dimensão 1862 x 1339 x 976mm, frequência 100 a 6000hz, uso bilateral para ambos os lados, alimentação baterias ag3 a312 pr41 15v, duração bateria até 20 dias, regula o volume",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,amplificador,,,,,,,
olistsp||OSPRQ364214B7COV,Caixa de Som,Caixinha De Som Portátil Bluetooth Mini Caixa De Som Rgb,Caixinha De Som Portátil Bluetooth Mini Caixa de Som Rgb Descrição CARACTERÍSTICA:- Modos de conexão: Rádio fm; usb; Bluetooth; Cartão de memória tf.- Possui entrada para Microfone.- Potência 10W- Leds que trocam de cor e movimentam com a música.- Bateria recarregável- Duração da bateria: 2-3 horas- Tempo de carregamento da bateria: 2 horas.- Possui equalizador de Som Ficha técnica:- Distância da conexão: 10 m- Canal: Estéreo 2.0- Potência de saída: 10W rms- Resposta de frequência: 20Hz-20KHz- Tamanho do alto-falante: 3 polegadas- Capacidade de carga: 1800mAh- Tensão de carregamento da bateria: 5v (usb) (cabo incluso)- Duração da bateria: 2-3 horas- Tempo de carregamento da bateria: 2 horas.- Peso: 650g O que você vai receber em casa:1x Caixa de Som Kapbom KA-89011x Cabo carregador1x Manuel de instruçãoHomologação Anatel: 025931304858,"{""caracteristicas"":""Bluetooth"",""marca"":""Kapbom"",""tamanho_do_woofer"":""5\"""",""tipo"":""Portátil"",""voltagem"":""5 V""}",,Kapbom,,Portátil,5 V,Bluetooth,"5""",,,,,,Bluetooth,Kapbom,10W,Caixa de Som Portátil,5v,Modos de conexão Rádio fm usb Bluetooth Cartão de memória tf- Possui entrada para Microfone- Potência 10W- Leds que trocam de cor e movimentam com a música- Bateria recarregável- Duração da bateria 2-3 horas- Tempo de carregamento da bateria 2 horas- Possui equalizador de Som,3 polegadas,Rádio fm usb Bluetooth Cartão de memória tf,Não informado,Não informado,Não informado,"Entrada para Microfone, Leds que trocam de cor e movimentam com a música, Bateria recarregável, Equalizador de Som",Kapbom,Bluetooth,10W,Mini,5V,,USB,
