Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Atributos AI-PAVE-BR,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Atributos Multimídia,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
id,product_type,,,extracted_attributes,cor_ol,voltagem_ol,marca_ol,tipo_ol,tipo_de_acendimento_ol,material_da_mesa_ol,quantidade_de_bocas_ol,alimentacao_ol,tipo_de_gas_ol,tipo_de_forno_ol,cor_llm,voltagem_llm,marca_llm,tipo_llm,tipo_de_acendimento_llm,material_da_mesa_llm,quantidade_de_bocas_llm,alimentacao_llm,tipo_de_gas_llm,tipo_de_forno_llm,cor,voltagem,marca,instalacao,tipo_de_acendimento,quantidade_de_bocas,alimentacao,tipo_de_gas,tipo_de_forno
coopergran||15901216043,Fogão,Fogão 4 Bocas Clarice Delicato Plus Glass Preto Bivolt,"Fogão 4 Bocas Clarice Delicato Plus Glass Preto Bivolt<br>Descrição<br> - Queimadores estampados<br> - Mesa vidro temperado preto<br> - Com respaldo traseiro<br> - Puxador de metal<br> - Amplo visor do forno<br> - Porta mista com vidro duplo<br> - Grade fixa com opção de altura<br> - Trempes de arame esmaltada<br> - Forno limpa fácil (Easy clean)<br> - Capacidade do forno 52L<br> - Pés com encaixe<br> - Válvula de segurança no forno<br> - Queimador rápido 1/1,5 kw<br> - Queimador semi rápido 3/ 1,3kw<br> - Potência do queimador do forno 2,5 kw<br> -Temperatura do forno 180o a 270o<br> - Acendimento automático<br> <br> Informações técnicas<br> Dimensões do produto (AxLxP) 89x49x59","{""cor"":""Preto"",""marca"":""Clarice"",""material_da_mesa"":""Aço Inox, Vidro"",""quantidade_de_bocas"":""4 Bocas"",""tipo_de_acendimento"":""Automático"",""voltagem"":""Bivolt""}",Preto,Bivolt,Clarice,,Automático,"Aço Inox, Vidro",4 Bocas,,,,Preto,Bivolt,Clarice,Fogão,Automático,Vidro Temperado,4 Bocas,Não informado,Não informado,Não informado,Preto,Bivolt,Delicato,de Piso,Automático,4 Bocas,Gás,GLP,Simples
lojastaqi||175032,Fogão,"Fogão 4 Bocas Atlas UTop Glass, Preto, Acendimento Automático","Fogão 4 Bocas Atlas UTop Glass, Preto, Acendimento Automático <p>Sua cozinha mais elegante e funcional com o Fogão 4 Bocas Atlas UTop Glass, que combina inovação e design em um produto completo para você. </p> <p>O Fogão Bocas possui mesa de vidro temperado, que dá um toque de sofistição para o produto, além de facilitar a limpeza. Também conta com forno com capacidade de 82,5 litros e 2 grades, uma deslizante e outra autodeslizante, e ainda possui acabamento Limpa Fácil. </p> <p>Com Acendimento Automático total (mesa e forno), o Fogão Atlas possui um queimador megachama, que garante um cozimento rápido e uniforme. Além disso, as trempes são individuais em ferro fundido, que são firmes, seguras e duráveis.</p> <p>Adquira já o seu e tenha mais facilidade e rapidez para preparar as refeições no dia a dia!</p> <p>Características</p> <p>Marca: Atlas</p> <p>Modelo: UTop Glass</p> <p>Ref.: 300000075</p> <p>Cor: Preto</p> <p>Especificações</p> <p>Material da mesa: Vidro temperado;</p> <p>Queimadores: 4 bocas;</p> <p>Acendimento Automático;</p> <p>Trempes em ferro fundido;</p> <p>Volume do forno: 82,5 litros;</p> <p>Temperatura do forno: 180 a 300C;</p> <p>3 queimadores ramal semi-rápidos: 1,7kW;</p> <p>1 queimador rápido megachama: 3,0kW;</p> <p>Queimador forno: 3,1kW; </p> <p>Luz no forno (não acompanha lâmpada).</p> <p>Itens Inclusos</p> <p>1 Fogão</p> <p>Alimentação</p> <p>Tensão: Bivolt</p> <p>Tipo de Gás: GLP* </p> <p>Classificação INMETRO A (mesa e forno)</p> <p>Dimensões</p> <p>Tamanho do Produto (AxLxP): 93 x 56 x 68,5 cm</p> <p>Peso: 32,7 Kg</p> <p>Garantia: 12 meses</p> <p>Atenção!</p> <p>*O produto é produzido originalmente para uso de gás engarrafado (GLP). Para transformar o fogão para gás GN, recorra ao Posto da Rede de Serviços Autorizados ATLAS mais próximo, o qual é responsável pela referida transformação.</p>","{""alimentacao"":""Gás"",""cor"":""Preto"",""marca"":""Atlas"",""quantidade_de_bocas"":""4 Bocas"",""tipo"":""Piso"",""tipo_de_acendimento"":""Automático"",""voltagem"":""Bivolt""}",Preto,Bivolt,Atlas,Piso,Automático,,4 Bocas,Gás,,,Preto,Bivolt,Atlas,Fogão,Automático,Vidro temperado,4 Bocas,Não informado,GLP,Não informado,Preto,Bivolt,Atlas,de Piso,Automático,4 Bocas,Gás,GLP,Simples
homesupreme||976,Fogão,Fogão Vitrocerâmico Mesa Indução 3 Queimadores Flex 774 Franke 100161,"Tecnologia, sofisticação e facilidade é o que você encontra no Cooktop Indução Vitrocerâmico Franke FHCR 774. A praticidade para seu dia a dia é um dos diversos benefícios que esse cooktop oferece. Isso porque ele possui um processo de transmissão de calor eletromagnético, que atinge com rapidez e precisão a temperatura desejada. Essa transmissão de calor, também proporciona muito mais segurança, pois o calor só é gerado diretamente no fundo da panela, não aquecendo a mesa toda. Dessa forma, acidentes ou queimaduras são evitados.<br> <br> Características: <br> Níveis de Aquecimento: 11 níveis de aquecimento<br> Trava de Painel: Sim<br> Queimadores: 3<br> Funcionamento: Indução<br> Diferencial: Memória de Parada<br> Potência (W) Queimadores: 1x Flex Zone 410 x 210 2800 W P, 1x Ø 215mm 2300 W P, 1x Ø 160mm 1400 W P.<br> Material: Vidro<br> Acabamento: Vitrocerâmico <br> Formato: Quadrado<br> Comando: Slider Touch<br> Frequência de Operação: 50/60Hz<br> Consumo: 0,710 kWh<br> <br> Dimensões do produto: <br> Altura: 78cm<br> 78 x 52 cm<br> <br> Garantia do fornecedor: 12 Meses.","{""cor"":""Preto"",""voltagem"":""220 V""}",Preto,220 V,,,,,,,,,Não informado,Não informado,Franke,Vitrocerâmico,Não informado,Vidro,3,Eletricidade,Não informado,Não informado,,,,,,,,,
kamelmagazine01||842,Fogão,Fogão Dream 5 Bocas Luz de Forno Itatiaia,"Fogão Dream 5 Bocas Luz de Forno Itatiaia. Com o fogão Dream 5 bocas, sua cozinha tem mais funcionalidade para o dia a dia, com mais resistência e maior durabilidade. Conta com trempes com laterais arredondadas, que evitam acúmulo de sujeira Queimador de alumínio com tripla chama, que garante mais potência e rapidez no cozimento de alimentos e acendimento automático. Puxador de alumínio escovado e manípulos com sinalização de posição, que garante beleza, resistência e tudo no ponto certo.<br> <br> Características <br> Manípulos com sinalização de posição<br> Prateleira deslizante<br> Queimador de alumínio com tripla chama <br> Puxador de alumínio escovado<br> Luz de forno com lâmpada blindada<br> Acendimento automático<br> Trempes com laterais arredondadas, que evitam acúmulo de sujeira<br> Manípulos removíveis com anel metalizado<br> Quantidade de bocas: 5 bocas<br> Tipo de acendimento: Automático<br> Capacidade do forno: 101L<br> Acabamento da Mesa: Vidro<br> Acompanha Lâmpada: Sim<br> Funcionamento: Gás<br> Acabamento do forno: Limpa Fácil<br> Tampa: Sim<br> Trempes: Aço Esmaltado<br> Quantidade de Prateleiras: 2<br> Potência dos queimadores: 1Q de 1,7kW, 1Q de 1,85kW, <br> 1Q de 2,75kW, 1Q de 3,3KW, 1Q de 2,0KW, 1Q de 2,4KW<br> Botões Removíveis: Sim<br> Eficiência Energética: a<br> <br> Dimensões:<br> Altura: 88 cm<br> Largura: 79 cm<br> Profundidade: 63 cm<br> Peso: 33,1 Kg<br> <br> Garantia do Fornecedor 3 Meses","{""alimentacao"":""Gás"",""cor"":""Branco"",""marca"":""Itatiaia"",""material_da_mesa"":""Esmaltado"",""tipo"":""Piso"",""tipo_de_acendimento"":""Automático"",""tipo_de_forno"":""Gás""}",Branco,,Itatiaia,Piso,Automático,Esmaltado,,Gás,,Gás,Não informado,Não informado,Itatiaia,Fogão,Automático,Vidro,5 bocas,Gás,Não informado,Não informado,Branco,Bivolt,Itatiaia,de Piso,Automático,5 Bocas,Gás,Natural,Simples
magazineluiza||201081700,Fogão,Fogão 4 Bocas GE FGGE004ECODA0BR de Embutir,"Fogão de embutir 4 bocas com mega forno a gás com espaço para você assar qualquer alimento. Possui acendimento automático que proporciona praticidade e segurança para acender o forno e a mesa, puxador em alumínio escovado superdistanciado e botões facilmente removíveis para limpeza. O forno possui 1 prateleira auto deslizante e 1 superdeslizante, conta ainda com iluminação interna e é autolimpante. Para garantir a segurança da sua família este fogão apresenta válvula de segurança além de ser muito econômico com classificação A na mesa e no forno.","{""cor"":""Branco"",""quantidade_de_bocas"":""4 Bocas"",""tipo"":""Embutir"",""voltagem"":""Bivolt""}",Branco,Bivolt,,Embutir,,,4 Bocas,,,,Não informado,Não informado,GE,Embutir,Automático,Não informado,4,Gás,Não informado,A Gás,Branco,Bivolt,GE,de Embutir,Automático,4 Bocas,Gás,GLP,Simples
gazinshop||1879,Fogão,Fogão 5 Bocas Brastemp Ative! Flat Top Quadrichama BFS5QARUNA,"O FogÃ£o 5 Bocas Brastemp Ative! Flat Top, alÃ©m de moderno, possui quadrichama e timer digital para agilizar e facilitar o preparo de suas receitas.<br><br>Mesa Flat Top<br>Mesa plana com grades individuais, mais moderna e fÃ¡cil de limpar<br><br>Quadrichama<br>Maior potÃancia e agilidade no preparo de suas receitas.<br><br>Timer<br>Avisa quando seu prato estÃ¡ pronto.<br><br>Vidro interno removÃ­vel<br>Ainda mais facilidade de limpeza.<br><br>Cleartec - Tecnologia de Limpeza<br>Revestimento do fono esmaltado e liso, evitando acÃomulo de gordura e facilitando a limpeza.<br><br>Porta com vidro panorÃ¢mico<br>Design e modernidade: maior amplitude para visualizaÃ§Ã£o do prato no forno e mais facilidade de limpeza.<br><br><br>EspecificaÃ§Ãμes TÃ©cnicas:<br>Material: Mesa: AÃ§o Inox.<br>Trempes: Arame Redondo.<br>Puxador: AlumÃ­nio.<br>Classe energÃ©tica: A.<br>Tipo de gÃ¡s: GLP (conversÃ­vel para GN)<br>PotÃancia dos queimadores: Quadrichama 3,3kw<br>RÃ¡pido: 2,5kw<br>Semi-rÃ¡pido: 1,8kw<br>Tipo de acendimento: AutomÃ¡tico<br>Bocas: 5<br>Tipo de Queimador (HEB/FLAT): HEB<br>Mega-chama: 1 Quadrichama<br>Queimador rÃ¡pido: 2<br>Queimador semi-rÃ¡pido: 2<br>Acabamento capa queimador (espalhador): Brilhante<br>Material da Mesa: AÃ§o Inox<br>Acabamento da Mesa: Polido<br>ManÃ­pulos: Monomaterial<br>Trempes: Individuais<br>Material trempes: Arame Redondo<br>ClassificaÃ§Ã£o energÃ©tica: A<br>Acendimento: AutomÃ¡tico<br>Timer: Digital<br>TampÃ£o de vidro: Sim<br>Serigrafia no tampÃ£o: Sim<br>Cavidades: 1<br>Tipo (Ã gÃ¡s / elÃ©trico): GÃ¡s<br>Volume (litros): 96<br>Puxador: AlumÃ­nio<br>Acabamento Puxador: Escovado Anodizado<br>Serigrafia Laranja (Friso): NÃ£o<br>GravaÃ§Ã£o do Logo: Laser<br>ClassificaÃ§Ã£o energÃ©tica: A<br>Fonte energÃ©tica: GÃ¡s<br>Acendimento: AutomÃ¡tico<br>ManÃ­pulo para acendimento forno (VÃ¡lvula manual): Sim<br>Prateleira: 1 Auto Deslizante + 1 Deslizante manual<br>Luz no forno: Sim<br>Revestimento do forno: Cleartec<br>Placa EletrÃ ́nica: Zenner<br>Tipo de display led ou lcd: LED<br>Cor (monocromatico ou colorido): Branco<br>Tipo de interaÃ§Ã£o (botÃ£o,touch): BotÃ£o<br>Controle EletrÃ ́nico: detalhadas nas behaviours specs: Timer<br>Acabamento externo (chapa+vidro ou sÃ3 vidro): Vidro serigrafado preto<br>Acabamento interno (chapa+vidro ou sÃ3 vidro): Vidro<br>VisualizaÃ§Ã£o (total ou parcial): Total<br>Porta fria ou nÃ£o (3 vidros ou baixo emissivo): NÃ£o<br>Temperatura Norma EuropÃ©ia: Sim<br>Abertura da porta: Multi-parada<br>Acabamento externo (chapa+vidro ou sÃ3 vidro): Chapa Inox<br>MÃ3vel ou fixa: Fixa<br><br><br>DimensÃμes do Produto:<br>Altura: 96,2 cm<br>Largura: 76,1 cm<br>Profundidade: 69,0 cm<br>Peso: 45 kg<br><br><br>Garantia do Fornecedor de 12 Meses.","{""alimentacao"":""Gás"",""cor"":""Inox"",""marca"":""Brastemp"",""material_da_mesa"":""Aço Inox, Vidro"",""tipo_de_gas"":""GLP, GN"",""voltagem"":""Bivolt""}",Inox,Bivolt,Brastemp,,,"Aço Inox, Vidro",,Gás,"GLP, GN",,Não informado,Não informado,Brastemp,Fogão,Automático,Aço Inox,5,Gás,GLP,Não informado,Branco,Bivolt,Brastemp,de Piso,Automático,5 Bocas,Gás,GLP,Simples
madeiramadeira-openapi||895542,Fogão,Fogão de Piso 4 Bocas com Acendimento Automático Mfi4bf,"O Fogão MFI4BF da Mueller é surpreendente em cada detalhe. Tem acendimento automático total, para acendimento prático dos queimadores da mesa e do forno. O interior do forno é total clean, o que facilita sua limpeza. E conta ainda com pés mais altos, para facilitar a limpeza da sua cozinha. Detalhes pensados sempre para facilitar o seu dia a dia.","{""cor"":""Preto"",""marca"":""Mueller"",""material_da_mesa"":""Aço Inox, Vidro"",""quantidade_de_bocas"":""4 Bocas"",""tipo"":""Piso"",""tipo_de_acendimento"":""Automático"",""tipo_de_gas"":""GLP""}",Preto,,Mueller,Piso,Automático,"Aço Inox, Vidro",4 Bocas,,GLP,,Não informado,Não informado,Mueller,Piso,Automático,Não informado,4,Não informado,Não informado,Não informado,Preto,Bivolt,Mueller,de Piso,Automático,4 Bocas,Gás,GLP,Simples
lojascertel||2010838,Fogão,Fogão Atlas Mônaco Plus 4 bocas Branco,"Para quem gosta de cozinhar, ter em casa um bom fogão é indispensável, e sabendo disso a Atlas conta com uma variedade de modelos, que atende a todos os tipos de necessidade, desde as pessoas que moram sozinhas até as grandes famílias. Por isso vale a pena conferir o fogão Mônaco Plus 4 bocas da Atlas. Ele tem acendimento automático e grades deslizantes que vão garantir mais segurança durante o preparo dos alimentos. O forno conta com tecnologia limpa fácil e sua mesa possui material de inox. Isso tudo sem contar que ele está disponível na cor branco e possui classificação energética A que garante mais economia na sua conta de energia. E tem mais, seus pés altos vão oferecer mais praticidade na hora da limpeza. Leve agora esse fogão e tenha mais desempenho e modernidade na sua cozinha!","{""alimentacao"":""Gás"",""cor"":""Branco"",""marca"":""Atlas"",""quantidade_de_bocas"":""4 Bocas"",""tipo"":""Piso"",""tipo_de_acendimento"":""Automático"",""tipo_de_gas"":""GLP"",""voltagem"":""Bivolt""}",Branco,Bivolt,Atlas,Piso,Automático,,4 Bocas,Gás,GLP,,Branco,Não informado,Atlas,Fogão,Automático,Inox,4 bocas,Não informado,Não informado,Limpa Fácil,Branco,Bivolt,Atlas,de Piso,Automático,4 Bocas,Gás,GLP,Simples
casaeciaoutlet1||15946445967,Fogão,Fogão 5 Bocas a Gás Itatiaia Star NG Acendimento Automático Preto Bivolt,"<p>Fogão Star NG 5 Bocas Preto Itatiaia. Modernos manípulos com sinalização de posição, robustos queimadores em alumínio, trempe robusta e resistente, puxador resistente em perfil de aço pintado, porta de vidro duplo com grafismos modernos, design moderno e diferenciado para a categoria, pés altos e robustos com facilidade de limpeza, forno Limpa Fácil, forno com amplo visor sua cavidade esmaltada e lisa evita o acúmulo de gordura e sujeira, nova serigrafia com indicadores de temperaturas.</p><p><br></p><p>Especificações Técnicas:</p><p><br></p><p>Cor: Preto</p><p>Marca: Itatiaia</p><p>EAN: 7892946432914</p><p>Categoria do Produto: Fogão</p><p>Quantidade de Bocas: 5</p><p>Tripla Chama: Não</p><p>Tipo do Produto: À gás</p><p>Tipo de Gás: GLP e GN</p><p>Material: Aço Inox Brilhante</p><p>Tipo de Acendimento: Acendimento automático frontal</p><p>Grades: Aço esmaltado</p><p>Botões Removíveis: Sim</p><p><br></p><p>Dimensões Aproximadas:</p><p><br></p><p>Altura(cm): 82</p><p>Largura(cm): 63</p><p>Comprimento(cm): 79</p><p>Peso(Kg): 29,9 Kg</p><p><br></p><p>Conteúdo de Embalagem:</p><p><br></p><p>01 Fogão</p><p>01 Manual</p><p><br></p><p>Troca e Devoluções:</p><p><br></p><p>Até 7 dias corridos da data do recebimento</p>","{""alimentacao"":""Gás"",""cor"":""Preto"",""marca"":""Itatiaia"",""quantidade_de_bocas"":""5 Bocas"",""tipo_de_acendimento"":""Automático"",""tipo_de_gas"":""GLP"",""voltagem"":""Bivolt""}",Preto,Bivolt,Itatiaia,,Automático,,5 Bocas,Gás,GLP,,Preto,Bivolt,Itatiaia,À gás,Acendimento automático frontal,Aço esmaltado,5,Não informado,GLP e GN,Limpa Fácil,Preto,Bivolt,Itatiaia,de Piso,Automático,5 Bocas,Gás," GLP, Natural",Simples
gazinshop||2082,Fogão,Fogão 5 Bocas Esmaltec Diamante Duplo Forno com Acendimento Automático 0104001280 0104001315,"Pensado em trazer os melhores eletrodomésticos para sua cozinha, a Esmaltec te apresenta o Fogão 5 Bocas Esmaltec Diamante Duplo Forno com Acendimento Automático: utilidade, qualidade e design.<br><br>Os Fogões à gás Esmaltec são confeccionados com chapa de aço e vidro, contém selo procel, travas de segurança e revestimento interno de Lã de vidro. Aproveite para cozinhar para toda a família!<br><br>Características:<br>Marca: Esmaltec<br>À gás: Sim<br>Elétrico: Sim<br>Material/Composição: Chapa de aço e vidro<br>Número de Queimadores: 5<br>Capacidade de forno (lts): 96L<br>Painel: Sim<br>Selo Procel: Sim<br>Consumo (Kw/h): 1(3KW); 2(2Kw/h); 2(1,7Kw/h)<br>Potência (w): 1 Qurimador (3000W); 2 Queimadores (2000W); 2 Queimadores(1700W)<br>Cor: Branco<br>Relógio: Não<br>Timer: Sim<br>Acendimento automático: Sim<br>Acendimento inteligente: Não<br>Forno autolimpante: Sim<br>Luz de forno: Sim<br>Grill: Não<br>Trava de segurança: Sim<br>Queimador rápido: Sim<br>Pés niveladores: Não<br>Porta fria: Sim<br>Termostato: Não<br>Estufa móvel: Não<br>Revestimento interno: Lã de vidro<br>Bandeja coletora de resíduos: Não<br> <br>Dimensões Aproximadas do Produto:<br>Altura: 92,0 cm<br>Largura: 76,7 cm<br>Profundidade: 59,8 cm<br>Peso: 40 kg<br><br>Garantia do Fornecedor de 12 Meses.","{""cor"":""Branco"",""marca"":""Esmaltec"",""voltagem"":""127 V""}",Branco,127 V,Esmaltec,,,,,,,,Branco,Não informado,Esmaltec,Gás,Automático,Chapa de aço e vidro,5,Gás,Não informado,Duplo,Branco,110V,Esmaltec,de Piso,Automático,5 Bocas,Gás,GLP,Duplo
