Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Atributos AI-PAVE-BR,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atributos Multimídia,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
id,product_type,,,extracted_attributes,capacidade_ol,cor_ol,marca_ol,niveis_de_potencia_ol,voltagem_ol,tipo_ol,acabamento_ol,modelo_ol,material_ol,caracteristicas_ol,linha_ol,capacidade_llm,cor_llm,marca_llm,niveis_de_potencia_llm,voltagem_llm,tipo_llm,acabamento_llm,modelo_llm,material_llm,caracteristicas_llm,linha_llm,marca,cor,capacidade,niveis_de_potencia,voltagem,Painel,Instalação
whirlpool||326020145,Microondas,Micro-ondas de embutir Brastemp Gourmand 40 litros inox com Sistema 3D e Sensor Cooking  - BMO45AR,"O micro-ondas de embutir Brastemp Gourmand 40 litros inox tem funcionalidades que fazem de você um chef! Tem 71 receitas pré-programadas, o Grill que garante pratos mais dourados, a função Crisp que prepara alimentos crocantes e a função Vapor para cozinhar os alimentos preservando seus nutrientes. Além disso, tem o sistema 3D exclusivo da Brastemp, que permite um cozimento mais homogêneo e de forma mais rápida.","{""capacidade"":""40 L"",""cor"":""Inox"",""marca"":""Brastemp"",""tipo"":""Embutir"",""voltagem"":""Bivolt""}",40 L,Inox,Brastemp,,Bivolt,Embutir,,,,,,40 litros,inox,Brastemp,Não informado,Não informado,de embutir,Não informado,Gourmand,Não informado,"Sistema 3D, Sensor Cooking, Grill, Crisp, Vapor, 71 receitas pré-programadas",Não informado,Brastemp,Inox,40L,7,220V,Com Timer,De Embutir
oliststore||MGLU1S765ASF92AU,Microondas,Micro-Ondas Panasonic St25l 21l 700W Branco 120V,"Tenha mais praticidade na sua cozinha com o Micro-ondas St25l da Panasonic. Com 21 litros de capacidade, esse micro-ondas é perfeito para esquentar seus pratos de forma simples e rápida. Graças a seu revestimento antiaderente, ele é muito mais fácil de limpar quando comparados a outros modelos convencionais.Sua tecnologia Pega Fácil faz com que o prato gire mais uma vez depois que o aquecimento termina para que você pegue o utensílio exatamente onde o deixou, assim, não terá problemas na hora de retirar o alimento. Além disso, o micro-ondas conta com um desodorizador que elimina o cheiro de receitas preparadas anteriormente. Características:- Design moderno e sofisticado- Desodorizador que elimina o cheiro de receitas anteriores- Revestimento antiaderente- Camada interna de tinta com sistema antimicrobiano- Sistema pega fácilEspecificações TécnicasProduto: Micro-OndasMarca: PanasonicModelo: St25lVoltagem: 120VPotência: 700 WNíveis de Potência: 10Eficiência Energética (%): ACor externa: BrancaCor interna: CinzaPorta: BrancaDisplay (cor): BrancoDiâmetro do prato: 27Receitas Pré-Programadas: 3Auto descongelamento: 2Memória: 3Auto reaquecimento: SimDesodorizador: SimRelógio: SimTrava de Segurança Eletrônica: SimDimensões do Produto (LxAxP): 442 x 260 x 366 mmDimensões da Embalagem (LxAxP): 480 x 307,5 x 390 mmPeso aproximado (sem embalagem): 10,4kgPeso aproximado (com embalagem): 11,2kgLitragem: 21LSobre a marca:A japonesa Panasonic foi fundada em 1918 e hoje é líder no desenvolvimento e produção de uma variada linha de equipamentos de consumo, corporativo e industrial. A Panasonic do Brasil atua com uma ampla gama de produtos, desde eletrodomésticos, pilhas e produtos de áudio e vídeo.","{""capacidade"":""21 L"",""cor"":""Branco"",""marca"":""Panasonic""}",21 L,Branco,Panasonic,,,,,,,,,21l,Branco,Panasonic,10,120V,Micro-ondas,Não informado,St25l,Não informado,"Design moderno e sofisticado, Desodorizador que elimina o cheiro de receitas anteriores, Revestimento antiaderente, Camada interna de tinta com sistema antimicrobiano, Sistema pega fácil",Não informado,Panasonic,Branco,21L,10,110V,Com Relógio,De Bancada
magazineluiza||225191700,Microondas,Micro-ondas Philco 21L PMO21T,"Que refeições mais saborosas e gostosas? Para isso a Philco apresenta o Micro-ondas de mesa, modelo PMO21T, que dispõe de 21 litros de capacidade e 10 potências, o que deixa o cozimento e descongelamento mais uniforme. Na cor preta e com painel digital, possui teclas fáceis para o menu Dia a Dia e Kids, além da trava para crianças. Aproveite para ter excelentes momentos com os amigos e a família.","{""capacidade"":""21 L"",""cor"":""Preto"",""marca"":""Philco"",""niveis_de_potencia"":""10 Níveis"",""tipo"":""Mesa"",""voltagem"":""220 V""}",21 L,Preto,Philco,10 Níveis,220 V,Mesa,,,,,,21L,preta,Philco,10,Não informado,Micro-ondas de mesa,Não informado,PMO21T,Não informado,"Painel digital, teclas fáceis para o menu Dia a Dia e Kids, trava para crianças",Não informado,Philco,Preto,21L,10,220V,Digital,De Bancada
friopecas||146235,Microondas,Micro-ondas de Embutir Consul 32 Litros Preto CM146AE - 127 Volts,"Micro-ondas de Embutir Consul 32 Litros Preto CM146AE - 127 Volts <p> O Micro-ondas de Embutir Consul 32 Litros Preto CM146AE - 127 Volts salva sua rotina, além de deixar sua cozinha mais bonita com um design moderno e garantir espaço de sobra para todo tipo de prato. O Menu Fácil traz praticidade para as receitas do dia a dia com apenas um toque. Já com a função Tira Odor, o cheiro de comida que costuma ficar no micro-ondas vai embora. </p> <p> Design Moderno: </p> <p> Fácil de limpar e prático de usar. </p> <p> Menu Fácil: </p> <p> Receitas práticas para o dia a dia. </p> <p> Espaço de Sobra: </p> <p> O espaço perfeito para todo tipo de prato. </p> <p> Função Tira Odor: </p> <p> Chega de micro-ondas com cheiro de comida. </p> <p> Menu Descongelar: </p> <p> Descongela os alimentos ao toque de um botão. </p> <p> Ajuste de Potência: </p> <p> A potência certa para o preparo das suas receitas. </p> <p> Opção Mute: </p> <p> Silencie os alertas sonoros do micro-ondas. </p> <p> Receitas Teclas Rápidas: </p> <p> Pipoca, Bolo de caneca, brigadeiro, Omelete, Arroz, Aquecer Pizza. </p> <p> Receitas /Outros: </p> <p> Descongelar Feijão; Descongelar Frango; Descongelar Carne. </p> <p> Imagem Meramente Ilustrativa. </p>","{""capacidade"":""32 L"",""cor"":""Preto"",""marca"":""Consul"",""tipo"":""Embutir"",""voltagem"":""127 V""}",32 L,Preto,Consul,,127 V,Embutir,,,,,,32 Litros,Preto,Consul,Não informado,127 Volts,Embutir,Não informado,CM146AE,Não informado,"Menu Fácil, Tira Odor, Descongelar, Ajuste de Potência, Opção Mute, Receitas Teclas Rápidas, Receitas Outros",Não informado,Consul,Preto,32L,10,110V,,De Embutir
oliststore||MGLNVFBDTG2NPNVB,Microondas,Micro-Ondas Pmr28P Retrô Philco Preto 28 Litros 110V,"Micro-ondas pmr28p retrô philco preto 28 litros 110v O micro-ondas philco pmr28p retrô tem design especial, elegância do retrô e desempenho philco. Com 1400w de potência, você terá um melhor desempenho para preparar diferentes tipos de receitas. Acompanha prato com diâmetro de 27 cm e capacidade para 28 litros. Também possui teclas fáceis com 12 programações. Conta com a opção descongelar rápido ou descongelar por peso e função potência. O micro-ondas philco pmr28p retrô vai deixar sua cozinha mais linda e seu trabalho mais prático. Tudo isso com eficiência energética a. Características: - design retrô - função potência - teclas fáceis com 12 programações - opções descongelar rápido ou por peso - bloqueio de segurança para crianças - classe a em eficiência energética Dados técnicos: - voltagem: 110v - potência: 1400w - consumo: 1,4 kw/h - capacidade do produto: 28 litros - material: aço galvanizado e abs - medidas: (lxaxc): 48,2x28,1x48,2 cm - peso: 12,4 kg - garantia: 12 meses Conteúdo da embalagem: - micro-ondas philco pmr28p retrô - prato com 27 cm de diâmetro - suporte giratório - certificado de garantia - manual de instruções Aqui você está em 1o lugar","{""capacidade"":""28 L"",""cor"":""Preto"",""marca"":""Philco"",""voltagem"":""127 V""}",28 L,Preto,Philco,,127 V,,,,,,,28 Litros,Preto,Philco,Não informado,110V,Micro-ondas,Retrô,Pmr28P,aço galvanizado e abs,"- design retrô
- função potência
- teclas fáceis com 12 programações
- opções descongelar rápido ou por peso
- bloqueio de segurança para crianças
- classe a em eficiência energética",Não informado,Philco,Preto,28L,,110V,,De Bancada
belamagazine||14918,Microondas,Forno Micro-ondas de Embutir Mueller 25 Litros Espelhado MMO0225G1 - 220V,"Forno Micro-ondas de Embutir Mueller 25 Litros Espelhado MMO0225G1 - 220V<br> <br><br>O Micro-ondas Mueller de embutir tem capacidade para 25 litros e é perfeito para você descongelar, aquecer e preparar receitas.<br>Possui grill dourador que finaliza as suas receitas, deixando seus pratos muito mais crocantes.<br>Produtos mais saudáveis com apenas um toque.<br><br>Conta também com a função DESCONGELAR e 8 Receitas Pre-Programadas<br>A variedade de 5 (cinco) níveis de POTÊNCIA você poderá escolher conforme o tipo de alimento que irá preparar!<br><br>Combinação perfeita para sua cozinha ou espaço gourmet!<br> <br>DICAS DE CONSERVAÇÃO:<br> <br>- Manchas ou alimentos derramados devem ser imediatamente retirados da área de cocção, de preferência enquanto ainda estiver morna, a fim de facilitar a remoção da sujeira. <br>- Nunca use produtos abrasivos na superfície.<br> <br>ATENÇÃO:<br> <br>- Não nos responsabilizamos pela montagem / instalação dos produtos. <br>- Imagens meramente ilustrativas.<br>- Verifique com os fabricantes dos produtos eventuais limitações à utilização de todos os recursos e funcionalidades.<br>- Evitar o uso de substancias abrasivas na limpeza.<br> <br>INFORMAÇÕES TÉCNICAS:<br> <br>Modelo: MMO0225G1 <br>Cor: Inox <br>Capacidade: 25 litros<br>Potência: 1450W<br>De embutir: Sim<br> <br>Dimensões do produto (cm): 38,8 (A) x 59,5 (L) x 40,0 (P)<br>Peso do produto com embalagem (kg): 18,0<br> <br>Garantia: 12 meses<br>SAC: (11) 4858-1141 - SP capital e região metropolitana / (47) 3431-0499 - Demais regiões<br>","{""capacidade"":""25 L"",""cor"":""Inox"",""marca"":""Mueller"",""tipo"":""Embutir"",""voltagem"":""220 V""}",25 L,Inox,Mueller,,220 V,Embutir,,,,,,25 Litros,Inox,Mueller,5,220V,Embutir,Espelhado,MMO0225G1,Não informado,"Grill Dourador, Descongelar, 8 Receitas Pre-Programadas",Não informado,Mueller,Inox,25L,5,220V,,De Embutir
magazineluiza||225454900,Microondas,Micro-ondas Philco 21L PMO21P,"O Micro-ondas Philco PMO21P vai trazer para sua casa a mais alta tecnologia e qualidade que vão transformar a forma como você prepara as refeições. Isso porque ele conta com funcionalidades incríveis que facilitam o dia a dia como as receitas pré-programadas, incluindo pratos como omelete, feijão e brigadeiro, a função descongelar e a função tira odor para facilitar a limpeza e higienização. Além disso, ele possui um design moderno que vai transformar o visual da sua cozinha, capacidade de 21 litros, regulagem de potência e trava de segurança.","{""capacidade"":""21 L"",""cor"":""Preto"",""marca"":""Philco"",""tipo"":""Mesa"",""voltagem"":""127 V""}",21 L,Preto,Philco,,127 V,Mesa,,,,,,21L,Não informado,Philco,Não informado,Não informado,Não informado,Não informado,PMO21P,Não informado,"receitas pré-programadas, descongelar, tira odor",Não informado,Philco,"[Preto,Branco]",21L,10,110V,Com Timer,De Bancada
eletrofacil||BM146AEBNA,Microondas,Micro-ondas de Embutir Brastemp 32 Litros Preto 18 Receitas Pré-Programadas 220V BM146AEBNA,"<p><strong>Micro-ondas de Embutir Brastemp 32 Litros Preto 18 Receitas Pré-Programadas 220V BM146AEBNA</strong></p><p><br></p><p><br></p><p><br></p><p>Receitas Pré-Programadas e Design Sofisticado:</p><p><br></p><p>O micro-ondas de embutir Brastemp 32L traz sofisticação para a sua cozinha com a abertura em apenas um toque. Com alta capacidade e 18 receitas pré-programadas, garante versatilidade no preparo automático dos seus pratos favoritos. Selecione a potência exata para cada tipo de alimento utilizando as opções do Menu Descongelar</p>","{""capacidade"":""32 L"",""cor"":""Preto"",""marca"":""Brastemp"",""tipo"":""Embutir"",""voltagem"":""220 V""}",32 L,Preto,Brastemp,,220 V,Embutir,,,,,,32 Litros,Preto,Brastemp,Não informado,220V,Embutir,Não informado,BM146AEBNA,Não informado,18 Receitas Pré-Programadas,Não informado,Brastemp,Preto,32L,10,220V,Com Relógio,De Embutir
uaicomerciodigital||MM2EM35PBWH,Microondas,Microondas Smartplate Branco 35l Toshiba 220v Em35pb,"MICROONDAS SMARTPLATE BRANCO 35L TOSHIBA 220V EM35PB<br><br>Design sofisticado, sem bordas e com puxador embutido para sua cozinha.<br><br>Sua tecnologia SmartPlate facilita a remoção de xícaras e canecas, retornando a alça dos recipientes para a posição inicial, além de proporcionar mais economia de energia com a função ECO. Conta com função Baby Care, auxiliando a esterelização de acessórios de bebês e aquecer papinhas e função Tira Odor, que com um clique é possível amenizar os odores retidos no aparelho. Além de todas essas facilidades, possui Menu Descongelar e Receitas Pré-Programadas para mais praticidade no seu dia a dia.<br><br>Tecnologia SmartPlate: segurança e facilidade<br>Design Moderno<br>Função Eco para mais economia<br>Função Tira Odor<br>Função baby care: ideal para esterilizar acessórios de bebês<br>Menu descongelar<br>Receitas pré programadas<br>Luz de LED no visor<br><br>Tecnologia SmartPlate: Facilita a remoção de xícaras e canecas, retornando a alça dos recipientes para a posição inicial.<br>Design Moderno: Sem bordas e com puxador embutido<br>Função Eco: Mais economia de energia com o visor desligado<br>Função Baby Care: Ideal para esterelizar acessórios de bebês e aquecer papinhas.<br>Função Tira Odor: Com um clique é possível amenizar os odores retidos no aparelho<br>Menu Descongelar: Programa ideal para descongelar carne, frango e feijão<br>Receitas pré programadas: Mais praticidade no seu dia a dia<br><br>- Gerais<br>Potência (W): 1000<br>Eficiência Energética: Selo Procel A<br>Voltagem: 220V<br>Programas: 4<br>Funções: 4<br><br>Dimensões<br>Largura: 52 MM<br>Altura: 32,5 MM<br>Profundidade: 42 MM<br>Peso: 14,8 KG<br>Dimensão do prato: 315 MM<br><br>","{""capacidade"":""35 L"",""cor"":""Branco"",""marca"":""Toshiba"",""voltagem"":""220 V""}",35 L,Branco,Toshiba,,220 V,,,,,,,35l,Branco,Toshiba,Não informado,220v,Não informado,Não informado,EM35PB,Não informado,"SmartPlate, Design Moderno, Função Eco, Função Tira Odor, Função Baby Care, Menu Descongelar, Receitas pré programadas, Luz de LED no visor",Smartplate,Toshiba,Branco,35L,,220V,,
